temperature,total_energy,specific_heat,magnetization_per_site,magnetic_susceptibility
1.9949999999999999,-2267.326666666667,0.7069422182853831,0.9131067386831402,0.365476272877169
2.01,-2252.0897333333332,0.7389070557749947,0.9077406378600996,0.4141585888662223
2.025,-2238.0424,0.7744902511424668,0.9027435699588584,0.4652662834785559
2.04,-2222.7704,0.8034948924757096,0.8968530349794399,0.5317552056029938
2.0549999999999997,-2206.6214666666665,0.8462922934967884,0.8906673353909587,0.6021887757916055
2.07,-2190.3324,0.8662582491758538,0.8841383744856084,0.7120088027680522
2.085,-2172.0072,0.9247683503124422,0.8762177983539129,0.9418270843234032
2.1,-2153.9484,0.9572148043352376,0.8690337448559654,0.9137689785710457
2.1149999999999998,-2135.8829333333333,1.0030818536150246,0.8604294753086412,1.117155436498613
2.13,-2114.795866666667,1.0670853249322931,0.850298456790125,1.3855572312312354
2.145,-2093.676,1.1200224972235755,0.8400039094650232,1.6124425243322282
2.16,-2071.3222666666666,1.2002953206206242,0.8267757716049283,2.292182140918042
2.175,-2048.143466666667,1.2679012156442733,0.8134626543209819,3.0222451258973364
2.19,-2021.6232,1.3473700974977982,0.7963707304526797,3.823780615497324
2.205,-1994.0958666666668,1.4525982569639209,0.7769344135802472,5.375295630591794
2.2199999999999998,-1964.9638666666667,1.557831192217054,0.7547523148148089,6.882003271441429
2.235,-1934.8074666666666,1.6804736173635846,0.7257705761316785,10.113694036456197
2.25,-1900.812,1.7537633677794218,0.6967719650205767,11.84531687088612
2.265,-1867.5738666666666,1.849680023657675,0.6621271090534929,14.866045058551846
2.28,-1829.336,1.9493401673449002,0.6165715020576127,18.79289193544997
2.295,-1791.2928,1.9450344283538454,0.5680584876543154,22.276946730310506
2.31,-1752.4652,1.9347601725817478,0.5174330761316855,24.351225805670488
2.3249999999999997,-1714.0622666666666,1.8225623061914704,0.4622873456790133,25.58904278661069
2.34,-1681.8798666666667,1.742847726702457,0.41975025720164527,25.113873188555655
2.355,-1651.3334666666667,1.5764365250043066,0.38412175925926173,23.56716734535418
2.37,-1619.4481333333333,1.4506459640037104,0.3404505144032902,21.39443229531659
2.385,-1592.9217333333333,1.340603641723921,0.3126123456790116,19.568070028073606
2.4,-1567.0224,1.2429598236168231,0.2825892489711943,17.52657383655502
2.415,-1543.0802666666666,1.1564865345485482,0.2582722222222233,15.647333851152835
2.4299999999999997,-1523.2742666666666,1.0871668105708123,0.24204459876543166,14.282751499588917
2.445,-1501.5390666666667,1.0148263790044374,0.2211471193415645,12.210965507276704
2.46,-1481.7721333333334,0.9690402350462481,0.20850658436214092,11.155467140328842
2.475,-1463.3978666666667,0.9288864328678013,0.19553765432098805,9.896825501233387
2.4899999999999998,-1446.096,0.8966539780355186,0.18669675925925747,9.100703488542266
2.505,-1428.4192,0.8665194935642347,0.17592803497942336,8.24216591278163
2.52,-1412.2633333333333,0.8286161539979373,0.1653185185185175,7.409170859102183
2.5349999999999997,-1396.0110666666667,0.8057439126466907,0.160394238683127,6.986159733421907
2.55,-1381.0822666666666,0.768067287217301,0.15171445473250963,6.233852497053445
2.565,-1365.7314666666666,0.7548112056531192,0.14575159465020562,5.775558115979131
2.58,-1351.3050666666666,0.7374660991424997,0.1408036008230445,5.3565112061709
2.5949999999999998,-1337.4344,0.7036817912253515,0.1352744341563779,4.941840063558846
2.61,-1323.8209333333334,0.6907298081467768,0.13146517489711868,4.695467198428336
2.625,-1310.0417333333332,0.6777545673408621,0.12679120370370275,4.346929424468071
2.6399999999999997,-1297.8114666666668,0.6502409141845149,0.12228852880658365,4.078411663547748
2.655,-1284.7936,0.636052073056891,0.11972129629629479,3.809267275394876
2.67,-1272.0496,0.6250703397929246,0.11583811728395031,3.5962134350464185
2.685,-1260.3557333333333,0.6114393143356776,0.11307762345678893,3.359174340962305
2.6999999999999997,-1248.6213333333333,0.5932691011796276,0.10995792181069902,3.2161536265761685
2.715,-1236.2158666666667,0.5878660400429028,0.1059606481481472,2.9491799033148585
2.73,-1225.8372,0.5628554623612735,0.1040440329218105,2.861230217197375
2.745,-1215.3656,0.5540113612474618,0.10181558641975198,2.7155326344381367
2.76,-1204.1858666666667,0.5466187694355088,0.09983461934156217,2.583611948290003
2.775,-1194.5349333333334,0.5289533490443078,0.09733791152263299,2.4710360137902434
2.79,-1183.2684,0.5201770342816092,0.09560787037036919,2.377781584867244
2.8049999999999997,-1173.5001333333332,0.5129764748309104,0.09345972222222128,2.2507137846034
2.82,-1164.1438666666666,0.5016610246588205,0.09195231481481414,2.166212924280425
